,Strategy_Hold,Strategy_Monthly,Strategy_Hold
2025-01-31,1.3265663096047255,1.2720073455367782,1.0686806198352685
2025-02-03,1.2922082955425116,1.2476130355257897,1.064536842121869
2025-02-04,1.3082586698642569,1.260224645624051,1.0695500932247741
2025-02-05,1.2898934225881793,1.2490411259868153,1.0743131196013844
2025-02-06,1.2849037627547397,1.245790977357758,1.0762053654172596
2025-02-07,1.2609382524044523,1.2266415792991616,1.0688147001568378
2025-02-10,1.2468124127825178,1.217218276577367,1.0734627545732742
2025-02-11,1.2123731662443622,1.1911373733187212,1.0733096341712205
2025-02-12,1.2217724838484767,1.1975060075306418,1.069091421182312
2025-02-13,1.2575585852335909,1.2271564068729908,1.0785572569112727
2025-02-14,1.2584480266589666,1.2283226071379174,1.0797979416487717
2025-02-17,1.2584480266589666,1.2283226071379174,1.0797979416487717
2025-02-18,1.2556483334310136,1.226009817929305,1.0802928599630595
2025-02-19,1.2669139660746933,1.234981697656063,1.0824483175988877
2025-02-20,1.2562854613657777,1.226747979676158,1.0801110296428265
2025-02-21,1.2257969026449658,1.202406437681517,1.070273600071047
2025-02-24,1.2133972724874253,1.1925075244423105,1.0677916051965282
2025-02-25,1.1710622297067448,1.1596912490872688,1.067036818789512
2025-02-26,1.1533102803259192,1.1451467230466963,1.067979782043666
2025-02-27,1.133428502143123,1.1269691581099475,1.0569276434597967
2025-02-28,1.1574542295208967,1.1491148891661889,1.0687980072575647
2025-03-03,1.1390012734648742,1.1323950246277297,1.058160370005404
2025-03-04,1.114377133938253,1.1101284106505211,1.0493091309953075
2025-03-05,1.1278557263138287,1.1223982083059652,1.0547595100034417
2025-03-06,1.0971280614592058,1.094471210073749,1.042916214586536
2025-03-07,1.09754196589047,1.0950365489109481,1.0460414997836949
2025-03-10,1.027355862074199,1.0307067066643367,1.030871308292556
2025-03-11,1.036138176168658,1.0395765572671603,1.0241334296003044
2025-03-12,1.0641806998108014,1.067018724450016,1.0265806978159189
2025-03-13,1.0492067022041587,1.0527273534249626,1.0195180445574372
2025-03-14,1.0697051306926797,1.0726711667511826,1.0311844018551701
2025-03-17,1.0544505648584186,1.0587974264483162,1.036566497595383
2025-03-18,1.031512706350148,1.036537148007672,1.030193969812145
2025-03-19,1.0525224337310066,1.0575178910006835,1.0382110012659833
2025-03-20,1.052262920855656,1.057240503640015,1.0365538434146857
2025-03-21,1.0712371681719313,1.075639467648113,1.0364279619857393
2025-03-24,1.1216352239395762,1.1232831036765272,1.045915862907724
2025-03-25,1.1378936199406022,1.1377582222998925,1.0479550709034335
2025-03-26,1.1081792951734297,1.1112357758549045,1.0394033030660321
2025-03-27,1.1087493673923847,1.1115565097233515,1.0375523242794886
2025-03-28,1.0888918524369555,1.093233645357451,1.0271476985488812
2025-03-31,1.0850573615561696,1.0902559561962049,1.0320305010396493
2025-04-01,1.1013997015731234,1.1054654585584516,1.0350748508698957
2025-04-02,1.1253012574413024,1.1271245346833616,1.038700158421503
